agencyName,continentName,countryCode,countryName,dateUSGSignature,emergencyTypeName,projectCode,projectID,projectTitle,regionName,tableName,totalAmountApproved,windowFullName,year,projectsectors,projectclusters,projectgroupings,projectcapcodes
"World Food Programme",Africa,SDN,"Republic of the Sudan",2009-05-13,"Disruption of basic services",09-WFP-030,1762,"General Food Distribution—Conflict-Affected, Disaster-Affected and Displaced Population","Nothern Africa",M,2458040.0,"Rapid Response",2009,"Food Aid","Food Security","",""
"World Health Organization",Africa,SDN,"Republic of the Sudan",2009-07-31,"Disruption of basic services",09-WHO-034,1811,"Life saving hospital interventions for IDPs and vulnerable host population

SUD-09/H/22930/R","Nothern Africa",M,713527.0,"Rapid Response",2009,Health,Health,"",""
"World Food Programme",Africa,SDN,"Republic of the Sudan",2009-10-20,Multiple,09-WFP-054,1894,"EMOP 10760: Food assistance to populations affected by conflict in Sudan
SUD-09/FSL75
","Nothern Africa",M,5821464.0,"Rapid Response",2009,"Food Aid","Food Security","",""
"United Nations Population Fund",Africa,SDN,"Republic of the Sudan",2009-05-12,"Disruption of basic services",09-FPA-016,1793,"Reducing the Incidence of Maternal Deaths in a Complex Emergency","Nothern Africa",M,783005.0,"Rapid Response",2009,Health,Health,"",""
"United Nations Children’s Fund",Africa,SDN,"Republic of the Sudan",2009-09-30,Multiple,09-CEF-042,1892,"Improvement of nutritional situation for children through scaling up of nutrition interventions in five target states
SUD-09/HN31
","Nothern Africa",M,1499819.0,"Rapid Response",2009,Nutrition,Nutrition,"",""
"Food and Agriculture Organization",Africa,SDN,"Republic of the Sudan",2009-09-25,Multiple,09-FAO-026,1893,"Emergency agriculture assistance to drought and conflict affected vulnerable IDPs, host communities and returnees in Upper Nile, Jonglei, Warrap, Northern Bahr el Ghazal, Eastern Equatoria States","Nothern Africa",M,799195.0,"Rapid Response",2009,Agriculture,"Food Security","",""
"World Health Organization",Africa,SDN,"Republic of the Sudan",2009-05-06,"Disruption of basic services",09-WHO-023,1729,"Improve Access to Quality Health Care Services and Strengthen the Local Capacity to Manage Health Risks that Include Outbreak Control SUD-09/HN195 ","Nothern Africa",M,1232319.0,"Rapid Response",2009,Health,Health,"",""
"International Organization for Migration",Africa,SDN,"Republic of the Sudan",2009-04-16,"Disruption of basic services",09-IOM-010,1679,"NFI support to displaced population in CES and WES","Nothern Africa",M,222560.0,"Rapid Response",2009,Shelter,"Emergency Shelter and NFI","",""
"United Nations Children’s Fund",Africa,SDN,"Republic of the Sudan",2009-05-12,"Disruption of basic services",09-CEF-027-B,1731,"Emergency support for therapeutic and supplementary feeding centres and nutrition surveillance
WP project code SUD-09/HN193","Nothern Africa",M,1468673.0,"Rapid Response",2009,Nutrition,Nutrition,"",""
"United Nations High Commissioner for Refugees",Africa,DZA,Algeria,2009-09-25,"Residual humanitarian needs post-conflict",09-HCR-035,1913,"Amélioration de  l’approvisionnement en eau pour les réfugiés sahraouis à Tindouf en Algérie
","Nothern Africa",M,832171.0,"Underfunded Emergencies",2009,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"United Nations High Commissioner for Refugees",Africa,DZA,Algeria,2009-09-30,"Residual humanitarian needs post-conflict",09-HCR-036,1914,"Amélioration de la nutrition par renouvellement des plaques chauffantes de cuisine pour la population réfugiée sahraouie dans les camps de Tindouf 
","Nothern Africa",M,202499.0,"Underfunded Emergencies",2009,"Food Aid","Food Security","",""
"United Nations High Commissioner for Refugees",Africa,DZA,Algeria,2009-09-25,"Residual humanitarian needs post-conflict",09-HCR-037,1915,"Support Additionnel aux besoins de transports et réponse épidémique dans le secteur santé des campements de réfugiés sahraouis à Tindouf, Algérie
","Nothern Africa",M,160000.0,"Underfunded Emergencies",2009,Health,Health,"",""
"United Nations Children’s Fund",Africa,DZA,Algeria,2009-09-25,"Residual humanitarian needs post-conflict",09-CEF-046-A,1916,"Amélioration de la santé des enfants et des nouveaux nés Sahraouis réfugiés dans les camps de Tindouf (Algérie)
","Nothern Africa",M,196345.0,"Underfunded Emergencies",2009,Health,Health,"",""
"United Nations Children’s Fund",Africa,DZA,Algeria,2009-09-25,"Residual humanitarian needs post-conflict",09-CEF-046-B,1917,"Environnement éducatif protecteur pour les enfants réfugiés Sahraouis dans les camps de Tindouf (Algérie)","Nothern Africa",M,144985.0,"Underfunded Emergencies",2009,Education,Education,"",""
"United Nations Population Fund",Africa,TCD,Chad,2009-09-16,Displacement,09-FPA-021,1863,"Improving reproductive health (RH) services to the conflict-affected populations in the East of Chad
CHD-09/H/20783/R/1171
","Middle Africa",M,350025.0,"Underfunded Emergencies",2009,Health,Health,"",""
"United Nations Children’s Fund",Africa,TCD,Chad,2009-05-22,Displacement,09-CEF-026-A,1709,"Integrated Emergency Response for Refugee population and the host communities in Daha 
","Middle Africa",M,256800.0,"Rapid Response",2009,Nutrition,Nutrition,"",""
"United Nations Population Fund",Africa,TCD,Chad,2009-05-22,Displacement,09-FPA-014,1713,"Reducing excess morbidity and mortality related to Reproductive Health and Gender Based Violence among Central African Refugees in the Salamat Region, Chad ","Middle Africa",M,112000.0,"Rapid Response",2009,Health,Health,"",""
"United Nations High Commissioner for Refugees",Africa,TCD,Chad,2009-06-02,Displacement,09-HCR-017,1714,"Protection and humanitarian assistance to newly arrived Central African Republic refugees in southeastern Chad","Middle Africa",M,746860.0,"Rapid Response",2009,"Multi-sector ",Multi-Cluster,"",""
"World Food Programme",Africa,TCD,Chad,2009-05-22,Displacement,09-WFP-026,1715,"Assistance to Central African Refugees in southeastern Chad (PRRO 10510.0)
","Middle Africa",M,672000.0,"Rapid Response",2009,"Food Aid","Food Security","",""
"World Health Organization",Africa,TCD,Chad,2009-05-22,Displacement,09-WHO-022,1716,"Improving access to primary health care for newly arrived refugees and local population of Daha in southeastern Chad","Middle Africa",M,104000.0,"Rapid Response",2009,Health,Health,"",""
"United Nations Children’s Fund",Africa,TCD,Chad,2009-09-17,Displacement,09-CEF-039-D,1859,"Advanced mobile strategies for immunisation of returnee children in Dar Sila, eastern Chad 
CHD 09/H/20931/R/124
","Middle Africa",M,99968.0,"Underfunded Emergencies",2009,Health,Health,"",""
"Food and Agriculture Organization",Africa,TCD,Chad,2009-09-17,Displacement,09-FAO-022,1861,"Emergency supply of farming inputs to vulnerable households by conflicts and floods in Eastern and Southern Chad 
CHD-09/A/21029 /123
","Middle Africa",M,500000.0,"Underfunded Emergencies",2009,Agriculture,"Food Security","",""
"United Nations Children’s Fund",Africa,TCD,Chad,2009-09-17,Displacement,09-CEF-039-B,1857,"Water Supply, Sanitation and Hygiene Education for population affected by eastern Chad crisis
CHD-09/WS/21928/124
","Middle Africa",M,768153.0,"Underfunded Emergencies",2009,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"United Nations Children’s Fund",Africa,TCD,Chad,2009-09-17,Displacement,09-CEF-039-C,1858,"Improve access to a protective environment for children in IDPs sites and host communities affected by armed conflict in Eastern Chad
CHD 09/P HR RL/22007/124
","Middle Africa",M,404888.0,"Underfunded Emergencies",2009,Protection,Protection,"",""
"United Nations High Commissioner for Refugees",Africa,TCD,Chad,2009-09-16,Displacement,09-HCR-026,1864,"Care and Maintenance for Central African Refugees in Southern Chad.
CHD-09/MS/21434/R/120
","Middle Africa",M,1182000.0,"Underfunded Emergencies",2009,"Multi-sector ",Multi-Cluster,"",""
"United Nations High Commissioner for Refugees",Africa,TCD,Chad,2009-09-16,Displacement,09-HCR-027,1865,"Assistance to IDPs in Eastern Chad
CHD-09/MS/21436/R/120

","Middle Africa",M,214000.0,"Underfunded Emergencies",2009,"Multi-sector ",Multi-Cluster,"",""
"World Food Programme",Africa,TCD,Chad,2009-09-16,Displacement,09-WFP-044,1866,"WFP Humanitarian Air Services in Chad  in Support of EMOP 10559.1  
CHD SO10560.0
","Middle Africa",M,349997.0,"Underfunded Emergencies",2009,"Common Humanitarian Air Services","Coordination and Support Services","",""
"World Health Organization",Africa,TCD,Chad,2009-09-16,Displacement,09-WHO-039,1867,"Improving access to health care for IDPs and host populations in East Chad
CHD-09/H/20488/R/122
","Middle Africa",M,314900.0,"Underfunded Emergencies",2009,Health,Health,"",""
"World Health Organization",Africa,TCD,Chad,2009-09-17,Displacement,09-WHO-040,1868,"Support emergency surgical references at the regional hospital of Abeche
CHD-09/H/25844/R","Middle Africa",M,178256.0,"Underfunded Emergencies",2009,Health,Health,"",""
"United Nations Children’s Fund",Africa,TCD,Chad,2009-09-17,Displacement,09-CEF-039-A,1856,"Nutritional support for IDP and host populations in eastern ChadCHD 09/H/20928/R/124
","Middle Africa",M,400809.0,"Underfunded Emergencies",2009,Nutrition,Nutrition,"",""
"World Health Organization",Africa,TCD,Chad,2009-09-16,Displacement,09-WHO-041,1869,"Mitigating acute malnutrition impact among young children in Abeche and surrounded villages – DSR Ouaddai  
CHD-09/H/25310/R/122
","Middle Africa",M,99942.0,"Underfunded Emergencies",2009,Nutrition,Nutrition,"",""
"United Nations Children’s Fund",Africa,CAF,"Central African Republic",2009-10-08,"Disruption of basic services",09-CEF-041-B,1871,"Emergency Nutrition for child survival in CAR
CAF-09/H/20412/R/124
","Middle Africa",M,248026.0,"Underfunded Emergencies",2009,Nutrition,Nutrition,"",""
"United Nations Children’s Fund",Africa,TCD,Chad,2009-05-22,Displacement,09-CEF-026-B,1710,"Integrated Emergency Response for Refugee population and the host communities in Daha ","Middle Africa",M,107000.0,"Rapid Response",2009,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"United Nations Children’s Fund",Africa,TCD,Chad,2009-09-17,Displacement,09-CEF-039-E,1860,"Access to improved quality education for pre  and primary school children in IDP sites and host communities in eastern Chad
CHD 09/E/21968/124
","Middle Africa",M,251450.0,"Underfunded Emergencies",2009,Education,Education,"",""
"United Nations Population Fund",Africa,TCD,Chad,2009-09-16,Displacement,09-FPA-020,1862,"Prevention of and response to Gender-Based Violence (GBV) among Refugees and Internally Displaced Persons (IDPs) in Eastern Chad
CHD-09/P-HR-RL/20784/1171
","Middle Africa",M,350000.0,"Underfunded Emergencies",2009,Protection,Protection,"",""
"World Food Programme",Africa,CAF,"Central African Republic",2009-02-24,"Deterioration of protection and human rights environment",09-WFP-004,1581,"Provision of common emergency telecommunication services to the humanitarian community in Central African Republic

CAF-09/CSS/21410/561","Middle Africa",M,187355.0,"Rapid Response",2009,"Common Telecommunications","Emergency Telecommunications","",""
"Food and Agriculture Organization",Africa,CAF,"Central African Republic",2009-10-05,"Disruption of basic services",09-FAO-025,1881,"Fourniture d'urgence d'intrants agricoles à 3 000 familles vulnérables affectées par la malnutrition  dans les localités de Carnot et Berberati
CAF-09/A/25731/R
","Middle Africa",M,173001.0,"Underfunded Emergencies",2009,Agriculture,"Food Security","",""
"World Food Programme",Africa,CAF,"Central African Republic",2009-10-09,"Disruption of basic services",09-WFP-051,1882,"Emergency Food Assistance to the Displaced People (IDPs/Refugees) in Haut Mbomou
CAF-09/A/25735/R
","Middle Africa",M,107033.0,"Underfunded Emergencies",2009,"Food Aid","Food Security","",""
"World Food Programme",Africa,CAF,"Central African Republic",2009-10-05,"Disruption of basic services",09-WFP-052,1883,"Provision of safe, effective and cheap flights for the humanitarian community in the CAR
CAF-09/CSS/20526/561
","Middle Africa",M,168000.0,"Underfunded Emergencies",2009,"Common Humanitarian Air Services","Coordination and Support Services","",""
"United Nations Children’s Fund",Africa,CAF,"Central African Republic",2009-10-08,"Disruption of basic services",09-CEF-041-A,1870,"Reduction of child deaths due to alarming malnutrition situation in the South West Region of CAR by end of 2009.
CAF 09/H/25752/R

","Middle Africa",M,130002.0,"Underfunded Emergencies",2009,Nutrition,Nutrition,"",""
"World Food Programme",Africa,CAF,"Central African Republic",2009-10-05,"Disruption of basic services",09-WFP-053,1884,"Entretien d’urgence de l’axe Ndélé/Ngarba, préfecture du Bamingui-Bangoran, RCA
CAF-09/CSS/20917/R","Middle Africa",M,44001.0,"Underfunded Emergencies",2009,"Common Logistics",Logistics,"",""
"United Nations High Commissioner for Refugees",Africa,CAF,"Central African Republic",2009-10-07,"Disruption of basic services",09-HCR-030,1885,"Profiling of IDPs in Bamingui-Bangoran, Northern Region of CAR
CAF-09/P-HR-RL/20622/120 
","Middle Africa",M,209963.0,"Underfunded Emergencies",2009,Protection,Protection,"",""
"United Nations High Commissioner for Refugees",Africa,CAF,"Central African Republic",2009-10-07,"Disruption of basic services",09-HCR-031,1886,"Emergency GBV Interventions in Conflict-Affected Ouham Pendé 
CAF-09/P-HR-RL/20622/120 
","Middle Africa",M,210004.0,"Underfunded Emergencies",2009,Protection,Protection,"",""
"World Health Organization",Africa,CAF,"Central African Republic",2009-10-21,"Disruption of basic services",09-WHO-057,1947,"Decentralise prevention and preparation activities for a prompt response to disaster and crises
CAF-09/H/20581/R","Middle Africa",M,554450.0,"Underfunded Emergencies",2009,Health,Health,"",""
"United Nations Children’s Fund",Africa,CAF,"Central African Republic",2009-10-09,"Disruption of basic services",09-CEF-041-H,1966,"Strengthening Emergency obstetric and neonatal care in conflict affected zones
CAF-09/H/20573/R/124
","Middle Africa",M,68050.0,"Underfunded Emergencies",2009,Health,Health,"",""
"United Nations Children’s Fund",Africa,CAF,"Central African Republic",2009-10-08,"Disruption of basic services",09-CEF-041-G,1876,"Provision of emergency basic WASH services to vulnerable people across the conflict-affected in the southeast

","Middle Africa",M,419999.0,"Underfunded Emergencies",2009,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
