Kenya;Qatari Government;Qatar;Food crops;[2009] Failed (Negotiations failed);;Fruit, Vegetables
Kenya;The Dominion Group;United States of America;Biofuels, Food crops, Livestock, Renewable Energy;[2003] Concluded (Contract signed);6879;Banana, Rice, Sugar Cane, Vegetables
Kenya;Bioenergy International;Switzerland;Biofuels;Failed (Negotiations failed);;Jatropha
Kenya;Green Power Holding AG;Switzerland;Biofuels;Failed (Negotiations failed);;Jatropha
Kenya;Galole Horticulture Project;Kenya;Food crops;;;Corn (Maize)
Kenya;Xenerga Inc, Eurofuel Tech;United States of America, Germany;Biofuels;[2007] Intended (Expression of interest);;Jatropha
Kenya;Mat International, TARDA;Kenya;Biofuels, Food crops, Renewable Energy;Failed (Contract canceled);120000;Sugar Cane
Liberia;Sime Darby;Malaysia;Agriunspecified, Non-food agricultural commodities;[2009] Concluded (Contract signed);220000;Oil Palm, Rubber
Liberia;Bridgestone Corporation;Japan;Non-food agricultural commodities;[2008] Concluded (Contract signed);48153;Rubber
Liberia;Woodman Group;Malaysia;For wood and fibre;[2009] Concluded (Contract signed);119240;Trees
Liberia;Kuala Lumpur Kepong Berhad, Equatorial Palm Oil plc;Malaysia, United Kingdom of Great Britain and Northern Ireland;Agriunspecified;[2008] Concluded (Contract signed);33241;Oil Palm
Liberia;Kuala Lumpur Kepong Berhad (KLK), Equatorial Palm Oil plc;Malaysia, United Kingdom of Great Britain and Northern Ireland;Agriunspecified;[2008] Concluded (Contract signed);55289;Oil Palm
Liberia;Golden Agri-Resources Ltd (GAR);Singapore;Agriunspecified;[2010] Concluded (Contract signed);220000;Oil Palm
Liberia;Libyan African Investment Portfolio;Libya;Food crops;[2010] Failed (Contract canceled);15000;Rice (hybrid)
Libya;Agri SA;South Africa;Food crops;[2009] Failed (Negotiations failed);;Olives, Grapes
Morocco;Al Qudra Holding;United Arab Emirates;Food crops;[2006] Intended (Under negotiation);;Olives, Grapes
Morocco;The Gulf Merchant Bank;United Arab Emirates;Livestock, Other (please specify);Concluded (Contract signed);400;
Morocco;TEA (Tiris Euro Arab);Saudi Arabia;Food crops;[2009] Concluded (Contract signed);700000;Citrus Fruits, Olives
Madagascar;DRT;France;Forestunspecified;[2007] Concluded (Contract signed);10000;Pine
Madagascar;Hunter Resources PLC;United Kingdom of Great Britain and Northern Ireland;Biofuels;[2005] Concluded (Contract signed);495000;Jatropha
Madagascar;ER Company;;Biofuels;Failed (Negotiations failed);;Jatropha
Madagascar;Fuel Stock;United Kingdom of Great Britain and Northern Ireland;Biofuels, Food crops;[2012] Concluded (Contract signed);2000;Corn (Maize), Jatropha, Vegetables
Madagascar;Global Agro-Fuel;Lebanon;Biofuels;[2012] Failed (Negotiations failed);;Jatropha
Madagascar;Government of Madagascar;Madagascar;Conservation;[2007] Concluded (Contract signed);411;Trees
Madagascar;J-Oil;France;Biofuels;Failed (Negotiations failed);;Jatropha
Madagascar;Jatro Solutions, GreenIsland Madagascar;Germany, Madagascar;Biofuels, Food crops;[2007] Concluded (Contract signed);3000;Jatropha
Madagascar;GEXSI, Futuro Forestal;Germany, Panama;Biofuels, For wood and fibre;Failed (Negotiations failed);;Jatropha, Teak, Trees
Madagascar;Landmark;India;Food crops;[2006] Concluded (Oral Agreement);5000;Corn (Maize)
Madagascar;Unnamed investor 207, Les cultures du Cap East;India, Madagascar;Agriunspecified;Failed (Negotiations failed);;Oil Palm
Madagascar;Hansen og Røssevold Holdning, Sauda Maskinering AS, Nor Cut International;Norway;For wood and fibre;[2013] Failed (Negotiations failed);;Accacia, Eucalyptus, Trees
Madagascar;Mada Beef;South Africa;Livestock;Failed (Negotiations failed);;
Madagascar;MCD Suite D1;Madagascar;Other (please specify);Concluded (Contract signed);;Jatropha
Madagascar;Monteverde;Mauritius;Food crops;Failed (Negotiations failed);;Potatoes
Madagascar;New Ecologic Oil (NEO) SA;France;Biofuels;Failed (Negotiations failed);;Jatropha
Madagascar;NOTS Renewable Energy BV;Netherlands;Biofuels;Failed (Negotiations failed);;Jatropha
Madagascar;Oji Paper Co Ltd, Government of Laos;Japan, Lao People's Democratic Republic;For carbon sequestration/REDD, For wood and fibre;Failed (Negotiations failed);;Accacia, Eucalyptus
Madagascar;Osho Group;South Africa;Biofuels, Food crops;[2012] Failed (Negotiations failed);;Sugar Cane
Madagascar;SAIM;Madagascar;Biofuels, Food crops, Renewable Energy;Failed (Negotiations failed);;Sugar Cane
Madagascar;Sithe Global;United States of America;Agriunspecified;Failed (Negotiations failed);;Oil Palm
Madagascar;Soabe;France;Food crops;Failed (Negotiations failed);;Cereals (no specification), Corn (Maize), Sun Flower, Vegetables
Madagascar;Société de Production d’Ethanol de Madagascar  (SOPREMAD);Madagascar;Biofuels, Food crops, Renewable Energy;[2007] Concluded (Contract signed);20000;Sugar Cane
Madagascar;Tozzi Renewable Energy;Italy;Food crops, Non-food agricultural commodities;[2012] Concluded (Contract signed);6558;Oil Seeds, Peas, Corn (Maize), Soya Beans
Madagascar;Unitech;United States of America;Food crops;Failed (Negotiations failed);;Sun Flower
Madagascar;Varun Industries Ltd;India;Food crops;[2013] Failed (Negotiations failed);;Pulses, Lentils, Corn (Maize), Fruit, Rice, Vegetables, Wheat
Madagascar;Vaudo;France;Biofuels;Failed (Negotiations failed);;Jatropha
Madagascar;Magnard;France;Biofuels;Failed (Negotiations failed);;Jatropha
Mali;Noor Bio Energy West Africa;Burkina Faso;Biofuels;[2010] Intended (Expression of interest);;Sorghum, Jatropha
Mali;SeedRock Corporation;Canada;Biofuels, Food crops;[2012] Intended (Under negotiation);;Sorghum, Sun Flower, Corn (Maize), Rice, Soya Beans, Wheat
Mali;China Light Industrial Corporation for Foreign Economic and Technical Cooperation , Government of Mali;China, Mali;Biofuels, Food crops, Renewable Energy;[2009] Concluded (Contract signed);20000;Sugar Cane
Mali;Assil Meroueh;Côte d'Ivoire;Biofuels;[2009] Intended (Under negotiation);;Jatropha
Mali;Soudan Fayez;Côte d'Ivoire;Biofuels;[2009] Intended (Under negotiation);;
Mali;CEN_SAD (Community of Sahel-Saheriens);Libya;Food crops;[2005] Failed (Negotiations failed);;
Mali;Libyan African Investment Portfolio, Government of Mali;Libya, Mali;Food crops, Livestock;[2008] Concluded (Contract signed);25000;Rice (hybrid), Wheat
Mali;Foras International Investment Company;Saudi Arabia;Food crops;[2013] Failed (Contract canceled);5000;Rice
Mali;PetrOtech-ffn;United States of America;Biofuels;[2007] Concluded (Contract signed);10000;Jatropha
Mali;Southern Global Inc.;United States of America;Food crops;Concluded (Contract signed);30000;Rice
Mali;Millenium Challenge Corporation;United States of America;Food crops, Other (please specify);Concluded (Contract signed);22441;Rice
Mali;Agro Industrie Développement SA (AID-SA);Mali;Biofuels, Conservation, Food crops;[2011] Concluded (Contract signed);205700;Potatoes, Sun Flower, Wheat
Mali;Lonrho Plc;United Kingdom of Great Britain and Northern Ireland;Biofuels, Food crops;Concluded (Contract signed);10000;Rice
Mali;Groupe Tomota, Government of Mali;Mali;Biofuels, Food crops;[2010] Intended (Under negotiation);;Jatropha, Soya Beans, Sun Flower
Mali;SNF (Société N'Diaye et Frère);Mali;Food crops, Non-food agricultural commodities;Failed (Contract canceled);15000;Cotton
Mali;Agroenerbio S. A.;Mali;Biofuels;Failed (Contract canceled);40000;
Mali;Uttam Sucrotech International, Government of Mali;India, Mali;Biofuels, Food crops, Renewable Energy;[2013] Concluded (Contract signed);25845;Sugar Cane
Mali;Union économique et monétaire ouest-africaine (UEMOA);;Food crops;Concluded (Oral Agreement);11288;Fruit, Rice, Vegetables
Mali;Ousmane Ouane;Mali;;Concluded (Contract signed);10000;
Mali;SOCIMEX;Mali;Biofuels;Concluded (Contract signed);2000;Jatropha
Mali;Co-Enterprise;;Food crops;Intended (Under negotiation);;Rice, Vegetables
Mali;CAMEX;Brazil;Food crops;Failed (Contract canceled);;Rice, Vegetables
Mali;Société Yattassaye;Mali;;[2010] Failed (Negotiations failed);;
Mali;Groupe Tomota;Mali;;[2010] Failed (Contract canceled);;
Mali;société Moulin moderne du Mali (3M);Mali;Food crops;[2010] Concluded (Contract signed);7400;Corn (Maize), Onion, Potatoes, Rice, Wheat
Mozambique;Agriterra Ltd;United Kingdom of Great Britain and Northern Ireland;Livestock;[2010] Concluded (Contract signed);21000;
Mozambique;Viridesco;United Kingdom of Great Britain and Northern Ireland;Biofuels;Concluded (Contract signed);200;Jatropha
Mozambique;Green Power Holding AG;Switzerland;Biofuels, Food crops;Concluded (Contract signed);2800;Peas, Corn (Maize), Jatropha, Soya Beans
Mozambique;Energem Resources Inc, Spectre International;Canada, Kenya;Biofuels;Concluded (Contract signed);21000;Jatropha
Mozambique;C3 Biodiesel;United States of America;Biofuels;Concluded (Contract signed);5670;Jatropha
Mozambique;Emvest;South Africa;Food crops;[2009] Concluded (Contract signed);1220;Cassava (Maniok), Pineapple, Vegetables
Mozambique;Elaion AG;Germany;For wood and fibre;[2007] Concluded (Contract signed);1000;Trees
Mozambique;Geralco;South Africa;Food crops;[2008] Concluded (Contract signed);3000;Cashew, Coconut
Mozambique;Petromoc, Government of Mozambique;Mozambique;Biofuels, Food crops, Renewable Energy;[2009] Concluded (Contract signed);16852;Onion, Tomatoes, Potatoes, Sugar Cane, Vegetables
Mozambique;Green Resources AS, Diversified International Timber Holdings (DITH), Diocese of Niassa;Norway, United States of America, Mozambique;For wood and fibre;[2009] Concluded (Contract signed);80000;Eucalyptus, Pine
Mozambique;Green Resources AS, Diversified International Timber Holdings (DITH), Diocese of Niassa;Norway, United States of America, Mozambique;Conservation;[2010] Concluded (Contract signed);200000;Eucalyptus
Mozambique;Green Resources AS, Diversified International Timber Holdings (DITH), Diocese of Niassa;Norway, United States of America, Mozambique;For wood and fibre;[2009] Concluded (Contract signed);182000;Teak
Mozambique;AVIA Spa (Aviam), Mozambique Entrepreneurs;Italy, Mozambique;Biofuels;[2008] Concluded (Contract signed);10000;Jatropha
Mozambique;Gruppo Api, Gruppo Industriale Maccaferri;Italy;Biofuels;[2010] Concluded (Contract signed);6300;Jatropha, Sun Flower
Mozambique;NEOS Resources PLC;United Kingdom of Great Britain and Northern Ireland;Biofuels;[2007] Concluded (Contract signed);5348;Jatropha
Mozambique;Libyan African Investment Portfolio, Ubuntu;Libya, Mozambique;Food crops;[2009] Concluded (Contract signed);1800;Rice (hybrid)
Mozambique;Galp Energia, Companhia do Buzi, SARL;Portugal;Biofuels;[2010] Concluded (Contract signed);10000;Jatropha
Mozambique;SGC Energia;Portugal;Biofuels;[2009] Concluded (Contract signed);18508;Jatropha
Mozambique;Horta Boa;Portugal;Food crops;[2008] Concluded (Contract signed);350;Potatoes, Vegetables
Mozambique;Green Resources AS;Norway;Conservation, For carbon sequestration/REDD, For wood and fibre;[2009] Concluded (Contract signed);126000;Accacia, Eucalyptus
Mozambique;Grupo Portucel Soporcel;Portugal;For wood and fibre;[2009] Concluded (Contract signed);173327;Eucalyptus
Mozambique;BXR Group;Netherlands;Biofuels, Food crops;[2012] Concluded (Contract signed);10000;Sun Flower, Sesame, Soya Beans
Mozambique;Dutch Jatropha Consortium;Netherlands;Biofuels;[2008] Concluded (Contract signed);7500;Jatropha
Mozambique;Nutre SGPS SA;Portugal;Food crops;[2013] Failed (Contract canceled);9234;Sun Flower, Corn (Maize), Soya Beans
Mozambique;Moncada Energy Group SRL;Italy;Biofuels;[2008] Concluded (Contract signed);15000;Jatropha
Mozambique;Sabie Game Park;Mozambique;Conservation, Tourism;[2011] Intended (Under negotiation);;
Mozambique;Komatiland Forests, Government of Mozambique;South Africa, Mozambique;For wood and fibre;[2004] Concluded (Contract signed);23600;Eucalyptus, Pine
Mozambique;SAPPI;South Africa;For wood and fibre;[2010] Failed (Negotiations failed);;Eucalyptus, Pine
Mozambique;SAP-Sociedade Agropecuaria, SARL;;Livestock;[2010] Intended (Under negotiation);;
Mozambique;Manuel B. Medeiros;;Livestock;[2010] Intended (Under negotiation);;
Mozambique;NTC;Japan;Livestock;[2010] Intended (Under negotiation);;
Mozambique;Gestor, Lda;;Tourism;[2010] Intended (Under negotiation);;
Mozambique;Isabel M. F. Lopes e A. Lopes (Herdeiros);;Non-food agricultural commodities;[2010] Intended (Under negotiation);;Fodder Plants
Mozambique;Zefanias E. Oguane;;Livestock;[2010] Intended (Under negotiation);;
Mozambique;Agostinho F. Lissane;;Livestock;[2010] Intended (Under negotiation);;
Mozambique;Soc. A.D. Serviços, Lda;;Livestock;[2010] Intended (Under negotiation);;
Mozambique;Miguel João Mondlane;;Livestock;[2010] Intended (Under negotiation);;
Mozambique;Francisco J. Gonçalves;;Livestock;[2010] Intended (Under negotiation);;
Mozambique;Juma Juma F. Ussene;;Livestock;[2010] Intended (Under negotiation);;
Mozambique;Ofelia Jose Mausse;;Livestock;[2010] Intended (Under negotiation);;
Mozambique;Omar Cassamo;;Non-food agricultural commodities;[2010] Intended (Under negotiation);;Fodder Plants
Mozambique;Government of Mozambique;Mozambique;Livestock;[2010] Intended (Under negotiation);;
Mozambique;Justino M. Novela;;Livestock;[2010] Intended (Under negotiation);;
Mozambique;Azevedo Suege;;Livestock;[2010] Intended (Under negotiation);;
Mozambique;Galp Energia, Companhia do Buzi;Portugal, Mozambique;Biofuels, Food crops, Renewable Energy;[2004] Concluded (Contract signed);15000;Jatropha, Sugar Cane
Mozambique;Sociedade Dambaera Safaris, Lda;;Livestock;[2010] Intended (Under negotiation);;
Mozambique;Moby Agro, Lda;;Non-food agricultural commodities;[2012] Intended (Under negotiation);;Fodder Plants
Mozambique;Insitec;Mozambique;Industry, Livestock;Concluded (Contract signed);;
Mozambique;Maria F. de R. Rohomodja;;Non-food agricultural commodities;[2010] Intended (Under negotiation);;Fodder Plants
Mozambique;EAM (Empreendimentos Agrarios de Moçambique);South Africa;Food crops;[2010] Intended (Under negotiation);;Mango
Mozambique;Jose Pinto Matavel;;Livestock;[2010] Intended (Under negotiation);;
Mozambique;Raimundo Uahala;;Livestock;[2010] Intended (Under negotiation);;
Mozambique;Companhia Agricola de Muroa;;Non-food agricultural commodities;[2010] Intended (Under negotiation);;Fodder Plants
Mozambique;;;Non-food agricultural commodities;Failed (Negotiations failed);;Fodder Plants
Mozambique;Malema Organica;Mozambique;Biofuels, Livestock;[2010] Intended (Under negotiation);;
Mozambique;Versus Moçambique, Lda;;Non-food agricultural commodities;[2010] Intended (Under negotiation);;Fodder Plants
Mozambique;Fundação Malonda, Rift Valley Corporation;Mozambique, Zimbabwe;Conservation, For wood and fibre;[2006] Concluded (Contract signed);210000;Eucalyptus, Pine
Mozambique;Neotech, Lda;;Non-food agricultural commodities;[2010] Intended (Under negotiation);;Fodder Plants
Mozambique;Sociedade Muangaza Safaris, Lda.;South Africa;Livestock;[2008] Concluded (Contract signed);5000;
Mozambique;Hunters Mozambique Lda;;Livestock, Tourism;[2009] Intended (Under negotiation);;
Mozambique;Luis Antonio Mondlane;;Non-food agricultural commodities;[2011] Intended (Under negotiation);;Fodder Plants
Mozambique;Japanese International Cooperation Agency (JICA) , Brazilian Cooperation Agency (ABC), Unnamed investor 225, Mozambican Ministry of Agriculture;Japan, Brazil, Mozambique;Food crops, Non-food agricultural commodities;[2009] Intended (Under negotiation);;Cotton, Corn (Maize), Soya Beans
Mauritania;Foras International Investment Company;Saudi Arabia;Food crops;[2008] Concluded (Contract signed);2000;Rice
Mauritania;Al Rajhi Group;Saudi Arabia;Livestock;[2011] Intended (Under negotiation);;
Malawi;Government of Djibouti;Djibouti;Food crops;[2009] Concluded (Contract signed);50000;
Malawi;NEOS Resources PLC;United Kingdom of Great Britain and Northern Ireland;Biofuels;Concluded (Contract signed);7000;Jatropha
Malawi;Exagris Africa Limited (EAA);Malawi;Food crops, Livestock;[2010] Concluded (Contract signed);2372;Vegetables
Malawi;Lonrho Plc;United Kingdom of Great Britain and Northern Ireland;Food crops;Intended (Expression of interest);;Rice, Vegetables
Namibia;Al Dahra Agricultural Company, Namibia Development Corporation;United Arab Emirates, Namibia;Food crops;[2010] Concluded (Contract signed);220;Grapes, Palms
Namibia;Demeter International, Labour Investment Holdings (LIH), Hambukushu Traditional Authority;United Kingdom of Great Britain and Northern Ireland, Namibia;Food crops;[2010] Failed (Negotiations failed);;Sun Flower, Canola, Corn (Maize), Rice, Soya Beans, Wheat
Namibia;PGBI;South Africa;Biofuels, Food crops, Renewable Energy;[2010] Failed (Contract canceled);;Sugar Cane
Niger;IBS Agro Industries in Gaya;Niger;Biofuels;Intended (Expression of interest);;Jatropha, Rice
Niger;Unknown (3269);Niger;Livestock;Concluded (Contract signed);19600;
Nigeria;Foras International Investment Company;Saudi Arabia;Food crops;[2010] Intended (Under negotiation);;Rice
Nigeria;Trans4mation Agritech;United Kingdom of Great Britain and Northern Ireland;Food crops;[2008] Concluded (Contract signed);10000;Rice (hybrid), Cassava (Maniok)
Nigeria;Unnamed investor 233, Edo State Government;China, Nigeria;Food crops;Intended (Under negotiation);;Cassava (Maniok)
Nigeria;Chongqing Seed Corp;China;Food crops;Concluded (Contract signed);300;Rice (hybrid)
Nigeria;Fri-El Green Power;Italy;Agriunspecified;[2009] Concluded (Contract signed);11292;Oil Palm
Nigeria;Siat;Belgium;Agriunspecified, Non-food agricultural commodities;[2011] Concluded (Contract signed);16000;Rubber, Oil Palm
Nigeria;Participating Banks, Zimbabwe Farmers, Government of Nigeria;Nigeria, Zimbabwe;Agriunspecified, Food crops, Livestock;Concluded (Contract signed);13000;Banana, Cassava (Maniok), Cereals (no specification), Corn (Maize), Mango, Pineapple, Rice, Soya Beans
Nigeria;Olam International Ltd.;Singapore;Food crops, Industry;[2010] Concluded (Contract signed);10000;Cashew, Rice
Nigeria;Coga Farms Limited, FAPCo, GREDCo;Nigeria, India, United Kingdom of Great Britain and Northern Ireland;Biofuels, Food crops;Concluded (Contract signed);6000;Cassava (Maniok), Corn (Maize), Jatropha, Soya Beans
